time_elapsed,alpha,beta,rho,eta,gamma,success,cost,rmse_w,rmse_iv,mae_iv,n_obs,n_left_put_otm,n_right_call_otm,n_atm,flag_unbalanced_smile,message,tte_min,tte_max,moneyness_min,moneyness_max
206,-2.7590447696303855,1.088211225646418,-0.7640338660341037,0.9965971460963675,0.43495702658485846,True,7.427818070349924e-06,0.00038256371252711635,0.0015136952050689195,0.0009446593912616661,109,0,89,20,True,`gtol` termination condition is satisfied.,0.2136986301369863,2.4,0.0040549617717669,0.1984357405501707
207,-2.7798265051538222,1.1080379110078629,-0.7843611291285478,0.9350939751249303,0.4460039543491465,True,8.367875474686203e-06,0.0004557749486537616,0.0014831800577180675,0.0010488840073445123,109,0,89,20,True,`gtol` termination condition is satisfied.,0.210958904109589,2.3972602739726026,0.002595080587072,0.1990591364052656
210,-2.857460992812173,1.1276719402385278,-0.7172057634167196,1.0690894272376241,0.44056967131607755,True,1.0220109254570015e-05,0.00039778846823042665,0.00251523173967204,0.0013627204137418867,119,0,83,36,True,`gtol` termination condition is satisfied.,0.2027397260273972,2.389041095890411,-0.0194074901865078,0.192133644139487
211,-2.8300423909917383,1.1192830532599027,-0.7322061478047449,1.0963831123207368,0.4234650806891477,True,9.798587625971455e-06,0.00041879505409899955,0.0023062804133558725,0.0012989334963246185,118,0,88,30,True,`gtol` termination condition is satisfied.,0.2,2.3863013698630136,-0.0153411198936563,0.1964320305542787
212,-2.842021607206822,1.1100407209784837,-0.730080565949273,1.0075175155900036,0.45688160163747105,True,1.7249323912863227e-05,0.0005652957543273013,0.0024446127247176827,0.001370083869434991,120,0,82,38,True,`gtol` termination condition is satisfied.,0.1972602739726027,2.3835616438356166,-0.0210560664398737,0.1896888845174091
213,-2.8211188056917056,1.0962279834262405,-0.754665985093874,0.9954681016581229,0.4381395435699384,True,1.780585661285092e-05,0.0005018374487719373,0.00364166163321203,0.0019628696825028063,120,0,84,36,True,`ftol` termination condition is satisfied.,0.1945205479452054,2.38082191780822,-0.019852924343062,0.1909769057002712
214,-2.8145281396624977,1.0918741283907476,-0.7472769354061796,0.9775153661782912,0.44793804379583374,True,1.792652663161564e-05,0.0005546501936095155,0.0038886827425949357,0.0020188059774410728,118,0,88,30,True,`gtol` termination condition is satisfied.,0.1917808219178082,2.378082191780822,-0.0161015049946652,0.1951756708580027
217,-2.8261377679997968,1.0975304814396094,-0.7808406343107961,1.0066987040975566,0.4141851027816177,True,1.7516541215838093e-05,0.0005191493921911328,0.003981486969985692,0.0021721574803037938,119,0,81,38,True,`gtol` termination condition is satisfied.,0.1835616438356164,2.3698630136986303,-0.0216337900402593,0.1887206486260121
218,-2.801174471811456,1.0975985999330793,-0.7276934342556224,1.1115940873123913,0.41702363926253283,True,1.446229271187423e-05,0.0004907860153914468,0.003929886137011593,0.002149962188046754,118,0,88,30,True,`gtol` termination condition is satisfied.,0.1808219178082191,2.367123287671233,-0.0166828089363191,0.1945761835207594
219,-2.6658845786480336,1.0587928653428471,-0.7328378100054228,1.1238512063922181,0.39988180117348227,True,9.56811739553e-06,0.000437214475830683,0.0027519402149751137,0.0014837051920531562,100,0,90,10,True,`ftol` termination condition is satisfied.,0.1780821917808219,2.364383561643836,0.0142410645952315,0.1938248618849893
220,,,,,,False,,,,,0,0,0,0,True,Only 98 obs for 220 after cleaning — need >= 100.,,,,
221,,,,,,False,,,,,0,0,0,0,True,Only 97 obs for 221 after cleaning — need >= 100.,,,,
224,,,,,,False,,,,,0,0,0,0,True,Only 95 obs for 224 after cleaning — need >= 100.,,,,
225,-2.6475968407371875,1.0705754322299441,-0.7113248673742998,1.1657220017074794,0.41496379595930005,True,1.7463971236431593e-05,0.0005573670232190725,0.0037317562915983897,0.002117215934815163,102,0,92,10,True,`ftol` termination condition is satisfied.,0.1616438356164383,2.347945205479452,0.0106961965798606,0.1974678787569857
226,,,,,,False,,,,,0,0,0,0,True,Only 99 obs for 226 after cleaning — need >= 100.,,,,
